itemid,mean_frequency,total_count
226559,51.596774193548384,28791
226560,8.379396984924623,3335
226561,16.16393442622951,986
226563,17.25,69
226564,11.5,69
226565,18.333333333333332,110
226567,2.08,104
226571,1.765625,113
226573,14.727272727272727,162
226574,3.8,19
226575,10.179487179487179,397
226576,2.7083333333333335,195
226579,3.2244897959183674,158
226580,4.305555555555555,155
226582,10.083333333333334,242
226583,3.9166666666666665,94
226584,8.4,42
226588,30.106796116504853,3101
226589,24.625,394
226590,10.857142857142858,76
226592,39.25,157
226593,21.5,43
226595,8.0,8
226597,26.375,211
226598,22.125,177
226599,15.564102564102564,607
226600,29.428571428571427,206
226601,28.0,112
226602,123.0,123
226603,6.0,18
226604,10.125,81
226605,24.0,24
226606,202.0,808
226607,83.0,83
226608,3.0,3
226610,21.333333333333332,64
226612,3.727272727272727,41
226613,18.333333333333332,275
226617,9.0,9
226618,16.0,16
226619,67.25,269
226620,56.666666666666664,170
226623,2.0,2
226624,2.0,2
226625,4.4,44
226626,1.1975308641975309,97
226627,1.162962962962963,157
226628,1.0,6
226629,1.0,2
226630,1.0,2
226631,1.0666666666666667,16
226632,1.2307692307692308,16
226633,1.2338709677419355,153
227488,7.571428571428571,53
227489,8.428571428571429,59
227510,8.848101265822784,699
227511,4.333333333333333,65
227701,10.153846153846153,132
229413,17.75,71
