itemid,mean_frequency,total_count
221214,1.348984771573604,3189
221216,1.2232905982905984,1145
221217,1.2694970004614674,2751
221219,1.0,18
221223,1.1637931034482758,405
221255,1.0599369085173502,336
223253,1.1057692307692308,805
224263,1.119667973253401,4856
224264,1.074353448275862,2991
224267,1.0747295968534907,1093
224268,1.0,131
224269,1.0258620689655173,357
224270,1.1889985895627644,2529
224272,1.0571428571428572,185
224273,1.0,31
224274,1.2443458980044346,5612
224275,1.5753744058828805,17567
224276,1.0926737633061991,1745
224277,1.2535752118644068,9467
224385,1.1630116959064327,1591
224560,1.0381355932203389,1225
224566,1.0240963855421688,85
225199,1.0,8
225202,1.0255102040816326,201
225203,1.037037037037037,28
225204,1.0363636363636364,456
225205,1.0,38
225315,1.0168539325842696,181
225399,1.1333333333333333,153
225400,1.5510835913312693,1002
225401,1.8336520076481835,4795
225402,1.548917748917749,8945
225406,1.0,37
225427,1.1318681318681318,103
225428,1.0,1
225429,1.0,5
225430,1.0845070422535212,231
225432,1.1130634071810543,2914
225433,1.138157894736842,173
225434,1.0408163265306123,102
225436,1.2307692307692308,96
225437,1.0588235294117647,18
225439,1.1044776119402986,518
225440,1.1376811594202898,157
225441,1.7429560059317846,3526
225442,1.0,5
225443,1.183673469387755,116
225444,1.1484375,294
225445,1.2517985611510791,174
225446,1.0,84
225447,1.0422535211267605,74
225448,1.0206185567010309,99
225449,1.0,3
225450,1.5,21
225451,1.3480947476828011,1309
225454,1.2592797783933518,2273
225457,1.2128205128205127,473
225459,2.4205411585365852,12703
225460,1.0,8
225461,1.0,7
225462,1.1289640591966172,534
225463,1.0,1
225464,1.881578947368421,286
225465,1.2894736842105263,98
225466,1.183673469387755,58
225467,1.1428571428571428,8
225468,1.0606060606060606,140
225469,1.1328996282527881,2438
225470,1.2412060301507537,988
225472,1.0,3
225474,1.0,13
225475,1.0,7
225476,1.0,10
225477,1.0,4
225479,1.124031007751938,145
225752,1.1727970897332256,5803
225789,1.157190635451505,346
225792,1.122502522704339,5562
225794,1.1440677966101696,810
225802,2.2907153729071537,1505
225805,4.317365269461078,721
225814,1.176043557168784,648
225816,1.0365853658536586,85
225817,1.1409395973154361,170
225820,1.0,5
225821,1.06,53
225966,1.0364220674879485,1935
225967,1.0,16
226124,1.0454545454545454,23
226236,1.0,346
226237,1.0,1
226474,1.0,3
226475,1.0,10
226476,1.0,26
226477,1.0,30
227194,1.079373368146214,4134
227550,1.0566037735849056,112
227551,2.1515151515151514,71
227711,1.0,46
227712,1.1060786650774732,928
227713,1.0,8
227714,1.0,8
227715,1.0,2
227719,1.0136054421768708,149
228125,1.209016393442623,295
228126,1.1764705882352942,20
228127,1.1065573770491803,135
228128,1.4330922242314648,1585
228129,1.9644495412844036,3426
228130,1.0,14
228136,1.0,30
228169,1.1904761904761905,25
228201,1.2,6
228202,1.25,5
228228,1.3333333333333333,4
228286,1.0655737704918034,65
228715,1.1666666666666667,7
229298,1.088,136
229351,1.1290780141843972,3980
229366,1.2592592592592593,68
229380,1.02803738317757,110
229468,1.04,52
229501,1.1282051282051282,44
229514,1.0,2
229516,1.0629139072847682,321
229517,1.0,1
229519,1.0,8
229523,1.0,5
229524,1.0,13
229525,1.0204081632653061,50
229526,1.0257142857142858,359
229527,1.0,3
229528,1.0,3
229529,1.0,1
229530,1.0,1
229531,1.0632911392405062,84
229532,1.0532544378698225,178
229575,1.0476190476190477,88
229576,1.0,4
229577,1.0240963855421688,85
229578,1.036697247706422,113
229579,1.05,42
229580,1.203056768558952,551
229581,2.219741480611046,3778
229582,1.0512820512820513,41
229584,1.25,5
229585,1.0,15
229586,1.2,12
229614,1.0666666666666667,192
229620,1.0,1
229755,1.1111111111111112,40
